iter	Passed	Remaining
0	1	123
1	2	124
2	4	145
3	5	142
4	10	200
5	13	203
6	15	204
7	17	195
8	18	183
9	20	185
10	23	187
11	25	183
12	26	175
13	27	168
14	28	163
15	30	158
16	31	155
17	34	158
18	36	154
19	37	150
20	38	146
21	39	141
22	40	136
23	41	132
24	43	130
25	45	130
26	46	126
27	47	122
28	48	118
29	49	115
30	50	112
31	51	109
32	52	106
33	52	102
34	53	100
35	67	119
36	69	117
37	69	113
38	73	114
39	75	113
40	76	110
41	77	106
42	78	104
43	79	101
44	80	98
45	81	95
46	83	93
47	84	91
48	86	89
49	87	87
50	88	85
51	89	82
52	90	80
53	91	77
54	91	74
55	92	72
56	93	70
57	94	68
58	94	65
59	95	63
60	96	61
61	98	60
62	99	58
63	100	56
64	101	54
65	102	52
66	103	50
67	104	49
68	104	47
69	105	45
70	106	43
71	106	41
72	107	39
73	108	38
74	109	36
75	111	35
76	112	33
77	113	31
78	114	30
79	115	28
80	116	27
81	116	25
82	117	24
83	118	22
84	118	20
85	119	19
86	120	18
87	121	16
88	122	15
89	123	13
90	124	12
91	125	10
92	126	9
93	127	8
94	127	6
95	128	5
96	129	4
97	130	2
98	131	1
99	132	0
