iter	Passed	Remaining
0	166	166384
1	168	83874
2	169	56299
3	170	42516
4	172	34228
5	173	28671
6	174	24716
7	175	21740
8	176	19458
9	178	17659
10	179	16150
11	180	14886
12	181	13815
13	183	12929
14	184	12138
15	186	11442
16	186	10810
17	187	10246
18	188	9737
19	189	9298
20	190	8899
21	192	8539
22	193	8237
23	195	7934
24	196	7649
25	198	7419
26	199	7184
27	200	6953
28	201	6742
29	202	6549
30	203	6365
31	205	6212
32	206	6051
33	207	5896
34	208	5744
35	209	5599
36	210	5467
37	211	5365
38	213	5253
39	214	5142
40	215	5036
41	216	4934
42	217	4839
43	218	4747
44	219	4664
45	221	4602
46	223	4523
47	224	4444
48	227	4405
49	228	4337
50	229	4274
51	230	4203
52	231	4135
53	232	4072
54	233	4013
55	234	3957
56	236	3911
57	238	3865
58	239	3825
59	241	3776
60	242	3730
61	243	3684
62	244	3639
63	245	3593
64	246	3546
65	247	3502
66	248	3458
67	249	3419
68	251	3388
69	252	3358
70	254	3335
71	256	3307
72	257	3273
73	258	3238
74	259	3205
75	260	3170
76	261	3136
77	262	3103
78	263	3077
79	265	3055
80	267	3030
81	268	3003
82	268	2971
83	269	2943
84	270	2916
85	271	2890
86	273	2865
87	274	2841
88	275	2817
89	276	2792
90	277	2768
91	278	2747
92	279	2727
93	280	2707
94	282	2687
95	283	2669
96	284	2647
97	285	2626
98	286	2607
99	287	2588
100	288	2568
101	289	2549
102	290	2531
103	291	2511
104	292	2492
105	294	2481
106	295	2467
107	296	2451
108	297	2434
109	298	2418
110	299	2401
111	300	2386
112	302	2371
113	303	2359
114	304	2345
115	306	2333
116	306	2315
117	307	2300
118	308	2287
119	310	2276
120	312	2266
121	313	2252
122	314	2238
123	314	2224
124	315	2210
125	316	2197
126	317	2185
127	319	2173
128	320	2162
129	321	2151
130	322	2139
131	324	2134
132	325	2124
133	326	2113
134	327	2101
135	329	2090
136	330	2079
137	331	2067
138	332	2056
139	332	2045
140	333	2034
141	334	2021
142	335	2010
143	336	2001
144	337	1992
145	340	1988
146	341	1980
147	342	1970
148	343	1961
149	344	1952
150	345	1942
151	346	1933
152	347	1924
153	348	1915
154	349	1905
155	350	1897
156	352	1890
157	353	1885
158	354	1877
159	356	1869
160	356	1859
161	357	1850
162	358	1842
163	359	1834
164	360	1826
165	362	1819
166	363	1811
167	364	1804
168	365	1798
169	366	1790
170	368	1785
171	369	1778
172	370	1770
173	371	1763
174	372	1756
175	373	1749
176	374	1741
